path,format,rows,columns,column_names,unlabelled_columns,inspection,status
01_raw_source/real_sdtm/pr.sas7bdat,sas7bdat,151,10,STUDYID|DOMAIN|USUBJID|PRSEQ|PRTRT|PRCAT|VISITNUM|VISIT|PRDTC|SUBJID,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
01_raw_source/real_sdtm/sc.sas7bdat,sas7bdat,11,11,STUDYID|DOMAIN|USUBJID|SCSEQ|SCTESTCD|SCTEST|SCORRES|SCSTRESC|SCDTC|SCDY|SUBJID,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
01_raw_source/real_sdtm/suppae.sas7bdat,sas7bdat,53153,11,STUDYID|RDOMAIN|USUBJID|IDVAR|IDVARVAL|QNAM|QLABEL|QVAL|QORIG|QEVAL|SUBJID,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
01_raw_source/real_sdtm/suppcm.sas7bdat,sas7bdat,108333,11,STUDYID|RDOMAIN|USUBJID|IDVAR|IDVARVAL|QNAM|QLABEL|QVAL|QORIG|QEVAL|SUBJID,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
01_raw_source/real_sdtm/suppdm.sas7bdat,sas7bdat,2597,11,STUDYID|RDOMAIN|USUBJID|IDVAR|IDVARVAL|QNAM|QLABEL|QVAL|QORIG|QEVAL|SUBJID,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
01_raw_source/real_sdtm/suppds.sas7bdat,sas7bdat,1083,11,STUDYID|RDOMAIN|USUBJID|IDVAR|IDVARVAL|QNAM|QLABEL|QVAL|QORIG|QEVAL|SUBJID,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
01_raw_source/real_sdtm/suppeg.sas7bdat,sas7bdat,164,11,STUDYID|RDOMAIN|USUBJID|IDVAR|IDVARVAL|QNAM|QLABEL|QVAL|QORIG|QEVAL|SUBJID,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
01_raw_source/real_sdtm/suppex.sas7bdat,sas7bdat,18137,11,STUDYID|RDOMAIN|USUBJID|IDVAR|IDVARVAL|QNAM|QLABEL|QVAL|QORIG|QEVAL|SUBJID,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
01_raw_source/real_sdtm/suppie.sas7bdat,sas7bdat,21,11,STUDYID|RDOMAIN|USUBJID|IDVAR|IDVARVAL|QNAM|QLABEL|QVAL|QORIG|QEVAL|SUBJID,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
01_raw_source/real_sdtm/supplb.sas7bdat,sas7bdat,80788,11,STUDYID|RDOMAIN|USUBJID|IDVAR|IDVARVAL|QNAM|QLABEL|QVAL|QORIG|QEVAL|SUBJID,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
01_raw_source/real_sdtm/suppls.sas7bdat,sas7bdat,5610,11,STUDYID|RDOMAIN|USUBJID|IDVAR|IDVARVAL|QNAM|QLABEL|QVAL|QORIG|QEVAL|SUBJID,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
01_raw_source/real_sdtm/suppmh.sas7bdat,sas7bdat,2025,11,STUDYID|RDOMAIN|USUBJID|IDVAR|IDVARVAL|QNAM|QLABEL|QVAL|QORIG|QEVAL|SUBJID,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
01_raw_source/real_sdtm/supppe.sas7bdat,sas7bdat,1134,11,STUDYID|RDOMAIN|USUBJID|IDVAR|IDVARVAL|QNAM|QLABEL|QVAL|QORIG|QEVAL|SUBJID,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
01_raw_source/real_sdtm/supppr.sas7bdat,sas7bdat,151,11,STUDYID|RDOMAIN|USUBJID|IDVAR|IDVARVAL|QNAM|QLABEL|QVAL|QORIG|QEVAL|SUBJID,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
01_raw_source/real_sdtm/sv.sas7bdat,sas7bdat,3930,9,STUDYID|DOMAIN|USUBJID|VISITNUM|VISIT|SVSTDTC|SVSTDY|SVENDTC|SUBJID,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
01_raw_source/real_sdtm/te.sas7bdat,sas7bdat,4,6,STUDYID|DOMAIN|ETCD|ELEMENT|TESTRL|TEENRL,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
01_raw_source/real_sdtm/ti.sas7bdat,sas7bdat,48,5,STUDYID|DOMAIN|IETESTCD|IETEST|IECAT,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
01_raw_source/real_sdtm/ts.sas7bdat,sas7bdat,16,6,STUDYID|DOMAIN|TSSEQ|TSPARMCD|TSPARM|TSVAL,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
01_raw_source/real_sdtm/tv.sas7bdat,sas7bdat,24,7,STUDYID|DOMAIN|VISITNUM|VISIT|ARMCD|TVSTRL|TVENRL,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
01_raw_source/real_sdtm/vs.sas7bdat,sas7bdat,18388,19,STUDYID|DOMAIN|USUBJID|VSSEQ|VSTESTCD|VSTEST|VSORRES|VSORRESU|VSSTRESC|VSSTRESN|VSSTRESU|VSMETHOD|VSBLFL|VSDRVFL|VISITNUM|VISIT|VSDTC|VSDY|SUBJID,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
04_adam/adae_prod.xpt,xpt,,29,STUDYID|USUBJID|TRTA|TRTAN|AESEQ|AEDECOD|AEBODSYS|AEHLT|AESEV|ATOXGR|AESER|AEREL|ASTDT|AENDT|ASTDY|AENDY|AEOUT|AEACN|CQ02NAM|CQ02CD|CQ02SC|AEOCCFL|CIAESEQ|CIAESDT|CIAEEDT|CIAEDUR|TRTEMFL|ADURN|ADURU,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
04_adam/adae_v.xpt,xpt,,29,STUDYID|USUBJID|TRTA|TRTAN|AEDECOD|AEBODSYS|AEHLT|AESEV|ATOXGR|AESER|AEREL|ASTDT|AENDT|ASTDY|AENDY|AEACN|AEOUT|CQ02NAM|CQ02CD|CQ02SC|CIAESEQ|CIAESDT|CIAEEDT|CIAEDUR|AEOCCFL|TRTEMFL|ADURN|ADURU|AESEQ,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
04_adam/adcm_prod.xpt,xpt,,15,STUDYID|USUBJID|CMTRT|CMDECOD|CMCAT|CMINDC|ASTDT|AENDT|ASTDY|NACTDT|GCSFFL|GCSFPRFL|NACTFL|PREDNFL|TRTEMFL,ASTDT|AENDT|ASTDY,metadata + first/last 5-record readability sample (values not reproduced),READABLE
04_adam/adcm_v.xpt,xpt,,15,STUDYID|USUBJID|CMDECOD|CMCAT|CMINDC|ASTDT|AENDT|CMTRT|ASTDY|GCSFFL|GCSFPRFL|NACTFL|NACTDT|PREDNFL|TRTEMFL,ASTDT|AENDT|ASTDY,metadata + first/last 5-record readability sample (values not reproduced),READABLE
04_adam/adex_prod.xpt,xpt,,14,STUDYID|USUBJID|SUBJID|TRT01P|TRT01PN|TRTSDT|PARAMCD|PARAM|PARCAT1|AVAL|AVALC|AVISIT|PARAMN|AVISITN,PARAMN|AVISITN,metadata + first/last 5-record readability sample (values not reproduced),READABLE
04_adam/adex_v.xpt,xpt,,14,STUDYID|USUBJID|SUBJID|TRT01P|TRT01PN|TRTSDT|PARAMCD|PARAM|PARCAT1|AVAL|AVALC|AVISIT|AVISITN|PARAMN,AVISITN|PARAMN,metadata + first/last 5-record readability sample (values not reproduced),READABLE
04_adam/adlb_prod.xpt,xpt,,27,STUDYID|USUBJID|SUBJID|TRT01P|TRTSDT|PARAMCD|PARAM|PARAMN|PARCAT1|ADT|AVAL|AVALC|LBNRLO|LBNRHI|LBNRIND|AVISIT|AVISITN|AWDIST|ATOXGR|BASE|BASEC|BTOXGR|CHG|PCHG|ANL01FL|BASEFL|LBDY,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
04_adam/adlb_v.xpt,xpt,,27,STUDYID|USUBJID|SUBJID|TRT01P|TRTSDT|PARAMCD|PARAM|PARCAT1|ADT|AVAL|AVALC|LBNRLO|LBNRHI|LBNRIND|AVISIT|AVISITN|AWDIST|ATOXGR|BASE|BASEC|BTOXGR|CHG|PCHG|ANL01FL|BASEFL|LBDY|PARAMN,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
04_adam/adrs_prod.xpt,xpt,,13,STUDYID|USUBJID|SUBJID|TRT01P|TRTSDT|PARAMCD|PARAM|AVALC|ADT|ADY|AVISIT|ANL01FL|AVAL,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
04_adam/adrs_v.xpt,xpt,,13,STUDYID|USUBJID|SUBJID|TRT01P|TRTSDT|PARAMCD|PARAM|AVALC|ADT|ADY|AVISIT|ANL01FL|AVAL,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
04_adam/adsl_admiral.xpt,xpt,,19,STUDYID|USUBJID|SUBJID|SITEID|RANDDT|AGE|SEX|ITTFL|SAFFL|TRT01P|TRT01PN|AGEGR1|AGEGR1N|TRTSDT|TRTEDT|TRTDURD|DTHDT|LSTALVDT|DTHFL,RANDDT|AGE|SEX|ITTFL|SAFFL|TRT01P|TRT01PN|AGEGR1|AGEGR1N|TRTSDT|TRTEDT|TRTDURD|DTHDT|LSTALVDT|DTHFL,metadata + first/last 5-record readability sample (values not reproduced),READABLE
04_adam/adsl_prod.xpt,xpt,,42,STUDYID|USUBJID|SUBJID|SITEID|AGE|AGEGR1|AGEGR1N|RACE|ETHNIC|SEX|TRT01P|TRT01PN|TRT01A|TRT01AN|RANDDT|TRTSDT|TRTEDT|TRTDURD|ITTFL|SAFFL|PPROTFL|DTHFL|DTHDT|DTHCAUS|LSTALVDT|ECOGBL|ECOGBLIF|MEASDISF|VISCFL|PAINBL|PSABL|PSABLIF|ALPBL|ALPBLIF|ALBBL|ALBBLIF|LDHBL|LDHBLIF|HGBBL|HGBBLIF|DOCPROG|DOCRESP,,metadata + first/last 5-record readability sample (values not reproduced),READABLE
